Epoch D_loss G_loss G_Adv_loss G_L1_loss KL_loss Val_L1_loss AVG_IS STD_IS LR_G LR_D
1 -80.0975622967686 16.3893287796194 13.4743416650349 2.89332352513852 0.0216636698719238 0.245722356099117 6.55259799957275 0.275440722703934 0.0001 0.0004
2 -155.31159422983 101.523506286504 99.6826488075354 1.82681925110805 0.0140381040399337 0.14150295076491 11.4245204925537 0.509411096572876 0.0001 0.0004
3 0.136999722427267 134.148450651437 132.867655449206 1.27218463689165 0.00861077022421962 0.117464816079864 13.5091609954834 0.550451457500458 0.0001 0.0004
4 0.129123342140099 132.762448147435 131.650117235111 1.10456347130144 0.00776725883185959 0.105673250612579 14.5111112594605 0.48020201921463 0.0001 0.0004
5 0.107656055003824 131.361657535329 130.323077599411 1.03130463352594 0.00727538270828174 0.101058885643754 15.1923723220825 0.599849939346314 0.0001 0.0004
6 0.0836126281620215 130.136126954842 129.142817309445 0.98601234843359 0.00729720560235955 0.0987369167276576 15.4292707443237 0.492489129304886 0.0001 0.0004
7 0.0518512910593997 128.839718460122 127.87983910446 0.952527534778771 0.00735182526564259 0.102729144447212 15.448938369751 0.732998430728912 0.0001 0.0004
8 0.0220941149169946 127.3390709177 126.399284216449 0.932532406981339 0.00725431025356931 0.0962425231744972 15.6396055221558 0.725732982158661 0.0001 0.0004
9 -0.00210899247280548 126.098707057631 125.168822393393 0.922596663922605 0.00728808433386733 0.0947536799726607 15.5783538818359 0.801650643348694 0.0001 0.0004
10 -0.0165114296204827 124.88884983892 123.962671753086 0.918747334452846 0.00743095481487186 0.0965859700418726 16.184886932373 0.577172040939331 0.0001 0.0004
11 0.764288185484698 103.476444693173 102.546571082776 0.922905753945451 0.00696774117131729 0.099548688700682 14.4617919921875 0.521372139453888 0.0001 0.0004
12 0.50002771509273 68.4719185695014 67.3972364264681 1.07382778514682 0.000854480222513354 0.10359278632493 14.1960525512695 0.507604002952576 0.0001 0.0004
13 0.229289170764291 66.507042594578 65.5598742882614 0.946231923902126 0.000936514950654966 0.088843345076223 15.5823011398315 0.724263787269592 0.0001 0.0004
14 0.101751044416405 66.954277897125 66.075072656812 0.8776933012716 0.00151194471837161 0.123116681470147 15.8722705841064 0.433255165815353 0.0001 0.0004
15 0.0611679350285579 67.1163699157403 66.2633353328461 0.850940528504379 0.00209390415604312 0.107421246038962 16.3969707489014 0.509711265563965 0.0001 0.0004
16 0.0417682164601143 67.0928968639325 66.2544532151478 0.835829119014618 0.00261445242553995 0.110887563398367 17.2101173400879 0.476688086986542 0.0001 0.0004
17 0.0282611172905911 65.8057600738447 64.9818948223768 0.820906656248795 0.002958818639154 0.0922412670488599 17.4841423034668 0.976554393768311 0.0001 0.0004
18 0.0170761052717972 64.2476213703985 63.4420990321947 0.802268716532861 0.00325365806163093 0.0818157487466366 17.9755744934082 0.60531759262085 0.0001 0.0004
19 0.0113819665299333 62.1656951855516 61.3777415721923 0.784337863287962 0.00361571127034919 0.0840638046023212 18.2971096038818 0.558806657791138 0.0001 0.0004
20 0.00613359638961399 59.9457961275145 59.1761759248231 0.765592974165212 0.00402721978918723 0.0844229665360873 18.3112411499023 0.872585833072662 0.0001 0.0002
21 -0.00491754936478327 57.597177046949 56.8435479186075 0.749346931572156 0.0042821668115828 0.0822301745603356 18.2632389068604 0.731603622436523 0.0001 0.0002
22 -0.00430704396196624 56.5061735606864 55.7712112973108 0.730210177200225 0.00475208267487366 0.0827279724652254 18.9713401794434 0.706303298473358 0.0001 0.0002
23 -0.00352965445791269 55.3266500731563 54.6071771538776 0.714277129191572 0.00519577205917129 0.0793003373885457 18.5180892944336 0.563511490821838 0.0001 0.0002
24 -0.00566662733128671 53.6939802730785 52.991160497641 0.697317807646969 0.00550197179862739 0.0788218926968454 18.9859218597412 0.794114887714386 0.0001 0.0002
25 -0.00790135055551748 52.1587524609188 51.4713691652888 0.681463811556092 0.00591951917471064 0.0958326872013792 18.7520999908447 0.876616597175598 0.0001 0.0002
26 -0.00835444916830496 50.3651248366022 49.6903770183358 0.668421359851842 0.00632644828011179 0.0838251133696942 18.772554397583 1.01619124412537 0.0001 0.0002
27 -0.0105401475227836 48.6189391338612 47.9566298189675 0.655779591225602 0.00652974392549442 0.0801437860236892 19.4519329071045 0.65371185541153 0.0001 0.0002
28 -0.0123955689095523 47.4754810772284 46.8277453546939 0.640827198391375 0.00690850110419685 0.0814848906254467 19.3324012756348 0.728785753250122 0.0001 0.0002
29 -0.0145543499110157 46.4506703398722 45.8134179566522 0.630023408042805 0.00722902031708271 0.0818957431784159 19.1967658996582 0.726025521755219 0.0001 0.0002
30 -0.0172784078635199 45.7822776657846 45.1557200692804 0.619096698739645 0.00746082057616652 0.0813842559162575 19.0971584320068 0.832932472229004 0.0001 0.0002
31 0.0552578851690187 41.4833479537379 40.8656645626058 0.609885558676537 0.00779800973010852 0.0825347233610817 19.0266933441162 0.668902814388275 0.0001 0.0002
32 -0.0133796346819271 41.00671998924 40.3985685411926 0.600294467890659 0.00785694488614817 0.0809080101832559 19.1894226074219 0.75533789396286 0.0001 0.0002
33 -0.0218098852080781 41.1670791157676 40.5705804654095 0.588713401342597 0.007785297366326 0.0847312714668769 19.2474021911621 0.538763105869293 0.0001 0.0002
34 -0.0227596561127888 40.9338997989664 40.3470721817992 0.578829049682983 0.00799860962716591 0.0838483001423788 19.5018978118897 0.933667302131653 0.0001 0.0002
35 -0.0219989088643819 40.6310490415529 40.0518652630584 0.570998320951486 0.00818549852718211 0.0837963633710825 19.5284271240234 0.638603627681732 0.0001 0.0002
